prefix,has_conditional,has_tuple_accum,has_indep,has_crossdep,has_collection
20Nov,true,false,false,false,false
Ada1,true,true,true,false,true
Ada3,true,true,true,false,false
AggregationQuerySuite,true,true,true,false,false
Basket,true,false,false,false,true
Chicago,false,true,true,false,false
DurationMin,true,true,false,true,false
EventAggregationUdf,true,true,true,true,false
Flaredown1,false,true,true,false,true
HighLowAggregator,true,true,true,false,false
Jdata,true,false,false,false,false
KeepRowWithMaxAge,true,true,false,true,false
KeepRowWithMaxQuality,true,true,false,true,false
MinPooling,true,true,true,false,true
MyAvg,false,true,false,true,false
PointAttributionScalaUdaf,true,false,false,false,false
PreprocCSVTable,true,false,false,false,true
ReturnPriceAggregator,true,true,false,true,false
RoaringBitmapUDAF,true,true,true,false,true
SnapshotAggregator,true,true,false,true,false
SparkDataFrameUDFApp,true,true,true,false,false
TPCHUDAF,true,false,false,false,false
Top2,true,true,false,true,true
UDAF2,true,false,false,false,true
UDAF,true,false,false,false,false
UserDefinedAggregationFunctionTest,true,true,true,false,false
